"creation_date","new_daos","accumulated_daos"
"2022-10-20","1","1"
"2022-10-25","2","3"
"2022-10-28","1","4"
"2022-11-02","1","5"
"2022-11-18","2","7"
"2022-11-23","1","8"
"2022-12-05","1","9"
"2022-12-06","1","10"
"2022-12-07","2","12"
"2022-12-09","2","14"
"2022-12-10","1","15"
"2022-12-12","1","16"
"2022-12-13","4","20"
"2022-12-14","1","21"
"2022-12-20","1","22"
"2022-12-22","1","23"
"2023-01-03","2","25"
"2023-01-05","1","26"
"2023-01-08","2","28"
"2023-01-10","2","30"
"2023-01-11","1","31"
"2023-01-13","1","32"
"2023-01-23","1","33"
"2023-01-24","2","35"
"2023-01-26","1","36"
"2023-01-31","1","37"
"2023-02-01","1","38"
"2023-02-09","3","41"
"2023-02-20","1","42"
"2023-02-26","1","43"
"2023-03-03","1","44"
"2023-03-06","1","45"
"2023-03-12","1","46"
"2023-03-13","1","47"
"2023-03-22","1","48"
"2023-03-23","1","49"
"2023-03-24","1","50"
"2023-03-26","2","52"
"2023-03-29","1","53"
"2023-04-03","1","54"
"2023-04-06","2","56"
"2023-04-07","1","57"
"2023-04-08","1","58"
"2023-04-12","2","60"
"2023-04-15","1","61"
"2023-04-17","1","62"
"2023-04-20","1","63"
"2023-04-22","1","64"
"2023-04-23","1","65"
"2023-04-28","1","66"
"2023-04-29","1","67"
"2023-04-30","1","68"
"2023-05-01","1","69"
"2023-05-02","1","70"
"2023-05-09","1","71"
"2023-05-10","1","72"
"2023-05-11","2","74"
"2023-05-13","2","76"
"2023-05-14","1","77"
"2023-05-16","1","78"
"2023-05-17","4","82"
"2023-05-18","1","83"
"2023-05-19","2","85"
"2023-05-20","1","86"
"2023-05-22","3","89"
"2023-05-23","2","91"
"2023-05-24","2","93"
"2023-05-26","2","95"
"2023-05-27","2","97"
"2023-05-30","3","100"
"2023-06-08","1","101"
"2023-06-09","2","103"
"2023-06-11","1","104"
"2023-06-13","2","106"
"2023-06-16","1","107"
"2023-06-21","1","108"
"2023-06-24","1","109"
"2023-07-02","1","110"
"2023-07-05","1","111"
"2023-07-06","1","112"
"2023-07-09","3","115"
"2023-07-27","2","117"
"2023-08-02","1","118"
"2023-08-11","1","119"
"2023-08-18","3","122"
"2023-08-19","1","123"
"2023-08-26","1","124"
"2023-09-01","1","125"
"2023-09-04","1","126"
"2023-09-23","1","127"
"2023-10-05","1","128"
"2023-10-11","2","130"
"2023-11-02","1","131"
"2023-11-17","1","132"
"2023-11-21","1","133"
"2023-11-23","1","134"
"2023-11-24","1","135"
"2023-11-27","1","136"
"2023-12-02","1","137"
"2023-12-05","1","138"
"2023-12-07","1","139"
"2023-12-18","1","140"
"2024-01-08","1","141"
"2024-01-10","4","145"
"2024-01-17","1","146"
"2024-02-19","1","147"
"2024-02-20","1","148"
"2024-02-24","1","149"
"2024-03-02","1","150"
"2024-03-05","1","151"
"2024-03-06","1","152"
"2024-03-08","2","154"
"2024-03-14","1","155"
"2024-03-16","1","156"
"2024-03-21","1","157"
"2024-04-09","1","158"
"2024-06-20","1","159"
"2024-08-07","1","160"
"2024-11-12","2","162"