"creation_date","total_proposals","total_votes","approval_rate"
"2022-10-24","1","1","100"
"2022-10-28","5","8","60"
"2022-11-02","2","3","0"
"2022-11-18","3","0","0"
"2022-11-19","2","0","0"
"2022-12-05","10","32","90"
"2022-12-06","1","1","100"
"2022-12-07","3","4","66.66666666666667"
"2022-12-08","3","6","66.66666666666667"
"2022-12-09","2","2","50"
"2022-12-12","1","1","100"
"2022-12-13","4","10","50"
"2022-12-14","6","48","83.33333333333333"
"2022-12-16","14","26","85.71428571428571"
"2022-12-17","1","1","0"
"2022-12-19","4","6","75"
"2022-12-22","2","2","50"
"2022-12-23","1","0","0"
"2022-12-27","1","1","100"
"2022-12-31","4","0","0"
"2023-01-03","4","6","75"
"2023-01-06","2","1","0"
"2023-01-08","7","10","71.42857142857143"
"2023-01-09","1","1","100"
"2023-01-10","7","7","100"
"2023-01-11","5","10","80"
"2023-01-13","1","2","100"
"2023-01-24","1","2","100"
"2023-01-26","1","1","100"
"2023-02-01","3","3","100"
"2023-02-02","1","1","100"
"2023-02-03","1","0","0"
"2023-02-07","2","2","100"
"2023-02-09","2","4","50"
"2023-02-10","5","8","100"
"2023-02-13","2","1","100"
"2023-02-14","5","14","80"
"2023-02-16","2","6","50"
"2023-02-17","4","6","75"
"2023-02-20","5","5","100"
"2023-02-21","7","13","100"
"2023-02-22","6","14","83.33333333333333"
"2023-02-23","2","2","100"
"2023-02-24","7","24","71.42857142857143"
"2023-02-25","5","6","60"
"2023-02-26","1","2","100"
"2023-02-27","1","1","100"
"2023-02-28","1","2","0"
"2023-03-02","1","1","0"
"2023-03-03","13","13","100"
"2023-03-08","5","10","100"
"2023-03-10","2","2","100"
"2023-03-12","1","1","100"
"2023-03-13","8","10","100"
"2023-03-14","1","1","100"
"2023-03-15","4","5","100"
"2023-03-16","2","8","50"
"2023-03-18","2","6","100"
"2023-03-19","2","4","100"
"2023-03-20","4","12","75"
"2023-03-22","2","6","100"
"2023-03-23","3","9","100"
"2023-03-24","1","2","100"
"2023-03-26","1","1","0"
"2023-03-28","2","2","100"
"2023-03-29","5","12","100"
"2023-03-30","4","28","75"
"2023-04-02","1","0","0"
"2023-04-04","3","3","100"
"2023-04-05","1","3","100"
"2023-04-06","3","3","100"
"2023-04-07","5","5","100"
"2023-04-08","2","2","0"
"2023-04-11","4","14","75"
"2023-04-12","5","5","100"
"2023-04-13","4","6","100"
"2023-04-14","5","12","80"
"2023-04-15","3","5","100"
"2023-04-17","9","18","88.88888888888889"
"2023-04-19","1","1","100"
"2023-04-20","10","24","50"
"2023-04-22","5","8","80"
"2023-04-23","2","2","0"
"2023-04-24","4","4","100"
"2023-04-25","2","4","100"
"2023-04-26","2","10","50"
"2023-04-27","8","11","100"
"2023-04-28","1","5","100"
"2023-04-29","4","7","100"
"2023-05-01","1","0","100"
"2023-05-02","7","26","85.71428571428571"
"2023-05-03","7","7","100"
"2023-05-04","3","2","100"
"2023-05-05","1","2","0"
"2023-05-06","1","1","100"
"2023-05-07","2","2","50"
"2023-05-08","1","0","100"
"2023-05-09","4","8","0"
"2023-05-11","1","1","100"
"2023-05-13","1","1","0"
"2023-05-14","2","2","100"
"2023-05-15","9","14","22.22222222222222"
"2023-05-16","2","10","50"
"2023-05-17","23","46","73.91304347826087"
"2023-05-18","3","6","66.66666666666667"
"2023-05-19","7","10","71.42857142857143"
"2023-05-20","2","2","50"
"2023-05-22","4","6","50"
"2023-05-23","9","12","66.66666666666667"
"2023-05-24","2","2","50"
"2023-05-25","4","6","50"
"2023-05-26","7","12","71.42857142857143"
"2023-05-27","5","10","60"
"2023-05-28","3","3","0"
"2023-05-29","2","2","100"
"2023-05-30","7","1","0"
"2023-05-31","4","4","100"
"2023-06-01","3","8","66.66666666666667"
"2023-06-02","15","16","40"
"2023-06-03","7","3","0"
"2023-06-04","1","1","100"
"2023-06-05","3","4","66.66666666666667"
"2023-06-06","10","24","60"
"2023-06-07","4","6","75"
"2023-06-08","12","24","75"
"2023-06-09","5","8","40"
"2023-06-10","6","7","100"
"2023-06-11","1","1","100"
"2023-06-12","55","122","92.72727272727273"
"2023-06-13","10","28","90"
"2023-06-14","6","6","100"
"2023-06-15","1","0","0"
"2023-06-16","3","6","66.66666666666667"
"2023-06-17","1","0","0"
"2023-06-19","16","20","43.75"
"2023-06-20","3","2","66.66666666666667"
"2023-06-21","7","16","85.71428571428571"
"2023-06-22","2","4","100"
"2023-06-23","2","6","50"
"2023-06-26","5","8","60"
"2023-06-27","1","2","100"
"2023-06-28","3","4","66.66666666666667"
"2023-06-29","4","6","100"
"2023-07-02","1","1","100"
"2023-07-03","2","3","100"
"2023-07-04","1","3","100"
"2023-07-05","2","3","100"
"2023-07-06","2","4","100"
"2023-07-07","1","2","100"
"2023-07-08","3","2","100"
"2023-07-09","2","8","50"
"2023-07-10","1","3","100"
"2023-07-14","9","9","100"
"2023-07-17","9","14","100"
"2023-07-19","1","0","100"
"2023-07-20","4","4","75"
"2023-07-21","7","18","85.71428571428571"
"2023-07-23","3","2","0"
"2023-07-25","2","8","50"
"2023-07-27","4","0","25"
"2023-07-28","2","4","100"
"2023-07-31","1","1","100"
"2023-08-02","1","1","100"
"2023-08-03","1","1","0"
"2023-08-04","1","1","100"
"2023-08-09","3","10","100"
"2023-08-11","1","2","0"
"2023-08-15","1","2","100"
"2023-08-16","1","4","100"
"2023-08-18","5","4","20"
"2023-08-19","1","1","0"
"2023-08-21","5","12","60"
"2023-08-22","3","4","100"
"2023-08-24","3","8","100"
"2023-08-25","5","12","80"
"2023-08-26","3","3","100"
"2023-08-29","1","0","0"
"2023-08-30","1","2","100"
"2023-08-31","2","6","50"
"2023-09-01","3","4","33.333333333333336"
"2023-09-02","6","6","100"
"2023-09-03","2","2","50"
"2023-09-04","3","5","100"
"2023-09-06","1","1","100"
"2023-09-07","1","1","100"
"2023-09-10","1","1","100"
"2023-09-12","1","1","100"
"2023-09-13","2","3","100"
"2023-09-15","1","1","100"
"2023-09-17","1","1","100"
"2023-09-18","3","3","100"
"2023-09-20","1","0","100"
"2023-09-21","2","7","100"
"2023-09-22","2","5","100"
"2023-09-26","7","4","28.571428571428573"
"2023-09-28","1","0","100"
"2023-09-29","2","3","100"
"2023-10-02","1","0","100"
"2023-10-03","1","2","100"
"2023-10-05","1","3","100"
"2023-10-06","2","4","50"
"2023-10-09","1","1","100"
"2023-10-10","1","2","100"
"2023-10-11","5","22","40"
"2023-10-15","1","1","100"
"2023-10-23","3","4","33.333333333333336"
"2023-10-24","1","1","0"
"2023-10-26","5","6","40"
"2023-10-30","1","1","100"
"2023-10-31","7","6","100"
"2023-11-01","4","9","100"
"2023-11-02","4","18","75"
"2023-11-03","3","6","100"
"2023-11-04","2","3","100"
"2023-11-06","1","0","0"
"2023-11-07","10","10","100"
"2023-11-08","5","15","100"
"2023-11-09","1","1","0"
"2023-11-10","3","8","66.66666666666667"
"2023-11-13","2","8","50"
"2023-11-14","1","5","100"
"2023-11-15","2","9","100"
"2023-11-16","3","5","100"
"2023-11-17","4","12","75"
"2023-11-20","2","2","100"
"2023-11-21","3","3","100"
"2023-11-22","6","12","83.33333333333333"
"2023-11-23","2","2","50"
"2023-11-27","2","2","100"
"2023-11-28","2","6","100"
"2023-11-30","1","0","0"
"2023-12-01","14","20","28.571428571428573"
"2023-12-02","6","8","16.666666666666668"
"2023-12-03","1","2","100"
"2023-12-04","2","1","0"
"2023-12-05","1","1","100"
"2023-12-06","1","0","0"
"2023-12-07","1","0","0"
"2023-12-08","5","6","100"
"2023-12-10","1","2","100"
"2023-12-11","1","0","100"
"2023-12-12","2","3","100"
"2023-12-13","1","1","100"
"2023-12-15","2","2","100"
"2023-12-19","3","2","66.66666666666667"
"2023-12-20","1","2","100"
"2023-12-27","2","2","50"
"2023-12-29","1","1","100"
"2023-12-31","5","5","100"
"2024-01-08","1","2","100"
"2024-01-10","4","8","50"
"2024-01-12","2","4","50"
"2024-01-15","7","12","85.71428571428571"
"2024-01-16","1","2","100"
"2024-01-17","3","6","66.66666666666667"
"2024-01-20","1","1","100"
"2024-01-22","1","4","100"
"2024-01-25","3","12","33.333333333333336"
"2024-01-27","1","2","100"
"2024-01-30","1","1","100"
"2024-02-06","1","0","100"
"2024-02-07","1","1","100"
"2024-02-13","1","1","100"
"2024-02-15","1","2","100"
"2024-02-19","2","1","100"
"2024-02-20","1","3","100"
"2024-02-21","5","14","80"
"2024-02-22","1","8","100"
"2024-02-28","1","0","100"
"2024-03-05","5","12","20"
"2024-03-08","5","14","80"
"2024-03-09","1","1","100"
"2024-03-12","2","6","100"
"2024-03-16","1","1","100"
"2024-03-18","1","1","100"
"2024-03-26","1","0","100"
"2024-04-08","1","2","100"
"2024-04-10","1","0","100"
"2024-04-11","1","16","100"
"2024-04-16","1","1","100"
"2024-04-17","1","0","100"
"2024-04-18","3","7","100"
"2024-04-19","1","1","100"
"2024-04-20","1","1","100"
"2024-04-21","1","1","100"
"2024-04-23","2","2","100"
"2024-04-25","2","6","100"
"2024-04-26","1","7","100"
"2024-04-30","1","0","0"
"2024-05-03","1","1","100"
"2024-05-06","3","6","33.333333333333336"
"2024-05-07","1","3","100"
"2024-05-09","1","0","100"
"2024-05-13","1","1","100"
"2024-05-22","1","0","100"
"2024-06-06","2","4","50"
"2024-06-19","2","2","100"
"2024-06-20","1","2","100"
"2024-06-25","1","1","0"
"2024-07-16","1","2","100"
"2024-07-17","1","1","100"
"2024-07-19","1","2","100"
"2024-07-22","1","0","100"
"2024-07-23","1","3","100"
"2024-07-25","1","1","0"
"2024-08-05","1","0","100"
"2024-08-07","4","4","100"
"2024-08-25","1","2","100"
"2024-09-15","1","0","0"
"2024-09-17","1","3","100"
"2024-09-21","1","0","100"
"2024-09-23","2","6","50"
"2024-09-25","1","0","100"
"2024-10-01","1","1","100"
"2024-10-04","1","2","100"
"2024-10-09","4","8","50"
"2024-10-18","1","1","0"
"2024-10-21","2","0","50"
"2024-10-28","1","0","100"
"2024-10-29","3","16","66.66666666666667"
"2024-10-31","2","6","100"
"2024-11-06","1","0","0"
"2024-11-12","6","43","0"
"2024-11-21","1","2","100"
"2024-11-29","1","0","0"