"Shares_percent","DAO_count"
"0","77"
"0.0008","1"
"0.0077","1"
"0.0086","1"
"0.01","1"
"0.0143","1"
"0.05","1"
"0.0885","1"
"0.1322","1"
"0.1456","1"
"0.2994","1"
"0.375","1"
"0.4245","1"
"0.4762","1"
"0.4831","1"
"0.5","1"
"0.5051","1"
"0.6667","1"
"1","6"
"1.0101","1"
"1.218","1"
"1.3514","1"
"1.5873","1"
"1.6393","1"
"1.6667","1"
"1.8182","1"
"2.3","1"
"2.5","3"
"3","1"
"3.3333","5"
"4.7619","1"
"5","5"
"6.25","1"
"6.6667","1"
"9.0909","2"
"10","5"
"12.5","1"
"20","3"
"25","1"
"33.3333","4"
"50","6"
"100","18"
"500","1"
"1500","1"